iter	MultiClass
0	1.615596866
1	1.398269702
2	1.252060551
3	1.140573631
4	1.045428825
5	0.9611283813
6	0.8904602802
7	0.832089773
8	0.7841281504
9	0.739225113
10	0.7016923214
11	0.6682452348
12	0.6373047787
13	0.6098794074
14	0.586816593
15	0.5636230988
16	0.54419788
17	0.5257130356
18	0.5110247413
19	0.4963639905
20	0.4810868126
21	0.4692143355
22	0.4596054362
23	0.4495170712
24	0.439571393
25	0.4307988735
26	0.4226865745
27	0.4151992068
28	0.4084555671
29	0.4019201474
30	0.3967089748
31	0.3913210267
32	0.3866999776
33	0.381800058
34	0.3773980669
35	0.3730014727
36	0.3680947143
37	0.3638204127
38	0.3601684558
39	0.3570412318
40	0.3541027827
41	0.3505120919
42	0.3471528306
43	0.3447290971
44	0.3421390423
45	0.3394221256
46	0.3373338641
47	0.3355688049
48	0.3330219444
49	0.3305739405
50	0.3282648035
51	0.3265957583
52	0.3244241248
53	0.3220847283
54	0.3203058064
55	0.3182236336
56	0.3164068996
57	0.3146711835
58	0.3130081033
59	0.3116102152
60	0.3100807032
61	0.3085538145
62	0.3072805581
63	0.3059440927
64	0.3042843381
65	0.3028162825
66	0.3008642269
67	0.2993792426
68	0.297831165
69	0.296752761
70	0.2955269292
71	0.2941287777
72	0.2925628488
73	0.2914769113
74	0.2900482252
75	0.2885774262
76	0.28735652
77	0.2865025892
78	0.2852724779
79	0.2843363704
80	0.2831599786
81	0.2822636517
82	0.2814541018
83	0.2809083681
84	0.2798562835
85	0.2788049993
86	0.2779319087
87	0.2765982084
88	0.2754377622
89	0.2745344093
90	0.273513982
91	0.27231456
92	0.271464904
93	0.2708700597
94	0.2697014806
95	0.2686867916
96	0.267821136
97	0.2670066763
98	0.2660045934
99	0.2652778626
