iter	Passed	Remaining
0	103	10261
1	208	10235
2	307	9926
3	413	9924
4	513	9755
5	608	9528
6	707	9405
7	805	9262
8	904	9144
9	1008	9072
10	1106	8953
11	1203	8823
12	1313	8787
13	1413	8679
14	1512	8572
15	1620	8505
16	1721	8406
17	1821	8297
18	1941	8274
19	2043	8174
20	2144	8068
21	2254	7993
22	2355	7884
23	2461	7794
24	2567	7703
25	2669	7598
26	2770	7491
27	2882	7411
28	2992	7325
29	3098	7228
30	3204	7132
31	3303	7020
32	3410	6924
33	3509	6812
34	3613	6711
35	3711	6598
36	3811	6489
37	3932	6416
38	4031	6306
39	4132	6199
40	4235	6095
41	4339	5992
42	4447	5895
43	4555	5798
44	4653	5688
45	4761	5589
46	4864	5485
47	4960	5373
48	5070	5277
49	5173	5173
50	5271	5064
51	5376	4963
52	5473	4853
53	5574	4748
54	5678	4646
55	5776	4538
56	5875	4432
57	6004	4348
58	6106	4243
59	6204	4136
60	6309	4033
61	6410	3929
62	6508	3822
63	6618	3722
64	6719	3618
65	6827	3517
66	6934	3415
67	7038	3312
68	7152	3213
69	7255	3109
70	7351	3002
71	7453	2898
72	7553	2793
73	7652	2688
74	7757	2585
75	7863	2483
76	7965	2379
77	8086	2280
78	8182	2175
79	8284	2071
80	8389	1968
81	8495	1864
82	8589	1759
83	8695	1656
84	8787	1550
85	8883	1446
86	8992	1343
87	9087	1239
88	9184	1135
89	9291	1032
90	9392	928
91	9491	825
92	9595	722
93	9693	618
94	9794	515
95	9899	412
96	9998	309
97	10100	206
98	10223	103
99	10326	0
